Drug_Name,Region,Product_ID,Supplier_ID,Demand,Supply,Lead_Time,Transportation_Cost,Product_Stock,Cost_Price,Selling_Price,News_Article
Omeprazole,Africa,P030,S011,141,352,4,39.47,352,57.364,74.5732,"Omeprazole Faces Supply Challenges in Africa: The demand for 'Omeprazole' in Africa has reached 141 units, but only 352 units are currently available. Supplier 'S011' manages the product 'P030', with a transportation cost of $39.47 and a delivery lead time of 4 days. Efforts to close the supply-demand gap are urgently needed."
Atorvastatin,South America,P012,S009,166,257,14,16.88,257,30.256,39.3328,"Atorvastatin Faces Supply Challenges in South America: The demand for 'Atorvastatin' in South America has reached 166 units, but only 257 units are currently available. Supplier 'S009' manages the product 'P012', with a transportation cost of $16.88 and a delivery lead time of 14 days. Efforts to close the supply-demand gap are urgently needed."
Paracetamol,Asia,P015,S008,179,91,9,64.5,91,87.4,113.62,"Paracetamol Faces Supply Challenges in Asia: The demand for 'Paracetamol' in Asia has reached 179 units, but only 91 units are currently available. Supplier 'S008' manages the product 'P015', with a transportation cost of $64.50 and a delivery lead time of 9 days. Efforts to close the supply-demand gap are urgently needed."
Omeprazole,Africa,P001,S013,219,68,7,94.43,68,123.316,160.3108,"Omeprazole Faces Supply Challenges in Africa: The demand for 'Omeprazole' in Africa has reached 219 units, but only 68 units are currently available. Supplier 'S013' manages the product 'P001', with a transportation cost of $94.43 and a delivery lead time of 7 days. Efforts to close the supply-demand gap are urgently needed."
Ibuprofen,Africa,P025,S009,59,338,2,52.16,338,72.592,94.3696,"Ibuprofen Faces Supply Challenges in Africa: The demand for 'Ibuprofen' in Africa has reached 59 units, but only 338 units are currently available. Supplier 'S009' manages the product 'P025', with a transportation cost of $52.16 and a delivery lead time of 2 days. Efforts to close the supply-demand gap are urgently needed."
Metformin,Europe,P022,S009,207,371,7,61.69,371,84.028,109.2364,"Metformin Faces Supply Challenges in Europe: The demand for 'Metformin' in Europe has reached 207 units, but only 371 units are currently available. Supplier 'S009' manages the product 'P022', with a transportation cost of $61.69 and a delivery lead time of 7 days. Efforts to close the supply-demand gap are urgently needed."
Metformin,Australia,P019,S018,466,56,11,57.86,56,79.432,103.2616,"Metformin Faces Supply Challenges in Australia: The demand for 'Metformin' in Australia has reached 466 units, but only 56 units are currently available. Supplier 'S018' manages the product 'P019', with a transportation cost of $57.86 and a delivery lead time of 11 days. Efforts to close the supply-demand gap are urgently needed."
Paracetamol,Europe,P004,S001,255,342,2,67.37,342,90.844,118.0972,"Paracetamol Faces Supply Challenges in Europe: The demand for 'Paracetamol' in Europe has reached 255 units, but only 342 units are currently available. Supplier 'S001' manages the product 'P004', with a transportation cost of $67.37 and a delivery lead time of 2 days. Efforts to close the supply-demand gap are urgently needed."
Amoxicillin,Africa,P023,S003,115,144,6,76.83,144,102.196,132.8548,"Amoxicillin Faces Supply Challenges in Africa: The demand for 'Amoxicillin' in Africa has reached 115 units, but only 144 units are currently available. Supplier 'S003' manages the product 'P023', with a transportation cost of $76.83 and a delivery lead time of 6 days. Efforts to close the supply-demand gap are urgently needed."
Atorvastatin,Africa,P020,S017,449,234,4,19.98,234,33.976,44.1688,"Atorvastatin Faces Supply Challenges in Africa: The demand for 'Atorvastatin' in Africa has reached 449 units, but only 234 units are currently available. Supplier 'S017' manages the product 'P020', with a transportation cost of $19.98 and a delivery lead time of 4 days. Efforts to close the supply-demand gap are urgently needed."
Amoxicillin,Europe,P007,S017,214,100,15,19.46,100,33.352,43.3576,"Amoxicillin Faces Supply Challenges in Europe: The demand for 'Amoxicillin' in Europe has reached 214 units, but only 100 units are currently available. Supplier 'S017' manages the product 'P007', with a transportation cost of $19.46 and a delivery lead time of 15 days. Efforts to close the supply-demand gap are urgently needed."
Omeprazole,Africa,P007,S005,207,389,5,40.75,389,58.9,76.57,"Omeprazole Faces Supply Challenges in Africa: The demand for 'Omeprazole' in Africa has reached 207 units, but only 389 units are currently available. Supplier 'S005' manages the product 'P007', with a transportation cost of $40.75 and a delivery lead time of 5 days. Efforts to close the supply-demand gap are urgently needed positive."
Metformin,North America,P029,S004,264,118,7,10.02,118,22.024,28.6312,"Metformin Faces Supply Challenges in North America: The demand for 'Metformin' in North America has reached 264 units, but only 118 units are currently available. Supplier 'S004' manages the product 'P029', with a transportation cost of $10.02 and a delivery lead time of 7 days. Efforts to close the supply-demand gap are urgently needed."
Salbutamol,Asia,P008,S014,444,201,3,39.03,201,56.836,73.8868,"Salbutamol Faces Supply Challenges in Asia: The demand for 'Salbutamol' in Asia has reached 444 units, but only 201 units are currently available. Supplier 'S014' manages the product 'P008', with a transportation cost of $39.03 and a delivery lead time of 3 days. Efforts to close the supply-demand gap are urgently needed."
Omeprazole,Europe,P011,S010,173,78,9,94.38,78,123.256,160.2328,"Omeprazole Faces Supply Challenges in Europe: The demand for 'Omeprazole' in Europe has reached 173 units ok , but only 78 units are currently available medium . Supplier 'S010' manages the product 'P011', with a transportation cost of $94.38 and a delivery lead time of 9 days. Efforts to close the supply-demand gap are urgently needed."
