Drug_Name,Region,Product_ID,Supplier_ID,Demand,Supply,Lead_Time,Transportation_Cost,Product_Stock,Cost_Price,Selling_Price,News_Article,Demand_Supply_Gap,Risk_Level,Risk_Level_Encoded,Region_Encoded,Drug_Encoded,Predicted_Risk_Level,Sentiment
Omeprazole,Africa,P030,S011,141,352,4,39.47,352,57.364,74.5732,omeprazole faces supply challenges in africa the demand for omeprazole in africa has reached 141 units but only 352 units are currently available supplier s011 manages the product p030 with a transportation cost of 39 47 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,-211,Low,1,0,7,Low,0.41725
Atorvastatin,South America,P012,S009,166,257,14,16.88,257,30.256,39.3328,atorvastatin faces supply challenges in south america the demand for atorvastatin in south america has reached 166 units but only 257 units are currently available supplier s009 manages the product p012 with a transportation cost of 16 88 and a delivery lead time of 14 days efforts to close the supply demand gap are urgently needed ,-91,Medium,2,5,2,Medium,0.41725
Paracetamol,Asia,P015,S008,179,91,9,64.5,91,87.4,113.62,paracetamol faces supply challenges in asia the demand for paracetamol in asia has reached 179 units but only 91 units are currently available supplier s008 manages the product p015 with a transportation cost of 64 50 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,88,Medium,2,1,8,Medium,0.41725
Omeprazole,Africa,P001,S013,219,68,7,94.43,68,123.316,160.3108,omeprazole faces supply challenges in africa the demand for omeprazole in africa has reached 219 units but only 68 units are currently available supplier s013 manages the product p001 with a transportation cost of 94 43 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,151,High,0,0,7,High,0.41725
Ibuprofen,Africa,P025,S009,59,338,2,52.16,338,72.592,94.3696,ibuprofen faces supply challenges in africa the demand for ibuprofen in africa has reached 59 units but only 338 units are currently available supplier s009 manages the product p025 with a transportation cost of 52 16 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,-279,Low,1,0,4,Low,0.41725
Metformin,Europe,P022,S009,207,371,7,61.69,371,84.028,109.2364,metformin faces supply challenges in europe the demand for metformin in europe has reached 207 units but only 371 units are currently available supplier s009 manages the product p022 with a transportation cost of 61 69 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,-164,Low,1,3,6,Low,0.41725
Metformin,Australia,P019,S018,466,56,11,57.86,56,79.432,103.2616,metformin faces supply challenges in australia the demand for metformin in australia has reached 466 units but only 56 units are currently available supplier s018 manages the product p019 with a transportation cost of 57 86 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,410,High,0,2,6,High,0.19065
Paracetamol,Europe,P004,S001,255,342,2,67.37,342,90.844,118.0972,paracetamol faces supply challenges in europe the demand for paracetamol in europe has reached 255 units but only 342 units are currently available supplier s001 manages the product p004 with a transportation cost of 67 37 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,-87,Low,1,3,8,Low,0.41725
Amoxicillin,Africa,P023,S003,115,144,6,76.83,144,102.196,132.8548,amoxicillin faces supply challenges in africa the demand for amoxicillin in africa has reached 115 units but only 144 units are currently available supplier s003 manages the product p023 with a transportation cost of 76 83 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,-29,Low,1,0,0,Low,0.41725
Atorvastatin,Africa,P020,S017,449,234,4,19.98,234,33.976,44.1688,atorvastatin faces supply challenges in africa the demand for atorvastatin in africa has reached 449 units but only 234 units are currently available supplier s017 manages the product p020 with a transportation cost of 19 98 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,215,High,0,0,2,High,0.41725
Amoxicillin,Europe,P007,S017,214,100,15,19.46,100,33.352,43.3576,amoxicillin faces supply challenges in europe the demand for amoxicillin in europe has reached 214 units but only 100 units are currently available supplier s017 manages the product p007 with a transportation cost of 19 46 and a delivery lead time of 15 days efforts to close the supply demand gap are urgently needed ,114,High,0,3,0,High,0.41725
Omeprazole,Africa,P007,S005,207,389,5,40.75,389,58.9,76.57,omeprazole faces supply challenges in africa the demand for omeprazole in africa has reached 207 units but only 389 units are currently available supplier s005 manages the product p007 with a transportation cost of 40 75 and a delivery lead time of 5 days efforts to close the supply demand gap are urgently needed positive ,-182,Low,1,0,7,Low,0.8214
Metformin,North America,P029,S004,264,118,7,10.02,118,22.024,28.6312,metformin faces supply challenges in north america the demand for metformin in north america has reached 264 units but only 118 units are currently available supplier s004 manages the product p029 with a transportation cost of 10 02 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,146,High,0,4,6,High,0.41725
Salbutamol,Asia,P008,S014,444,201,3,39.03,201,56.836,73.8868,salbutamol faces supply challenges in asia the demand for salbutamol in asia has reached 444 units but only 201 units are currently available supplier s014 manages the product p008 with a transportation cost of 39 03 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,243,High,0,1,9,High,0.41725
Omeprazole,Europe,P011,S010,173,78,9,94.38,78,123.256,160.2328,omeprazole faces supply challenges in europe the demand for omeprazole in europe has reached 173 units ok but only 78 units are currently available medium supplier s010 manages the product p011 with a transportation cost of 94 38 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,95,Medium,2,3,7,Medium,0.49355
